id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
push-up-001,Push-Up,Strength,None (bodyweight),Chest,Compound,"Chest, Triceps, Shoulders, Core","Start in a high plank with hands slightly wider than shoulder-width. Keep your body in a straight line from head to heels. Lower your chest toward the floor by bending your elbows. Pause briefly near the bottom, then press through your palms to return to the starting position. Keep your core braced throughout."
squat-002,Bodyweight Squat,Strength,None (bodyweight),Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core","Stand with feet shoulder-width apart and toes slightly turned out. Brace your core and push your hips back as you bend your knees. Lower until your thighs are at least parallel to the floor, then drive through your heels to stand back up. Keep your chest lifted and knees tracking over your toes."
plank-003,Plank,Strength,None (bodyweight),Core,Isometric,"Core, Shoulders, Glutes",Place your forearms on the floor with elbows under your shoulders. Extend your legs behind you and form a straight line from head to heels. Brace your abs and squeeze your glutes. Hold the position without letting your hips sag or rise too high.
pull-up-004,Pull-Up,Strength,Pull-up Bar,Back,Compound,"Latissimus Dorsi, Biceps, Rear Delts, Upper Back",Grip the bar slightly wider than shoulder-width with palms facing away. Start from a dead hang with shoulders engaged. Pull your chest toward the bar by driving elbows down and back. Lower yourself under control to a full hang.
dumbbell-bench-press-005,Dumbbell Bench Press,Strength,Dumbbells,Chest,Compound,"Chest, Triceps, Shoulders",Lie on a flat bench with a dumbbell in each hand at chest level. Press the weights upward until your arms are extended but not locked. Lower the dumbbells slowly until your elbows are just below bench level. Keep your feet planted and shoulder blades retracted.
barbell-deadlift-006,Barbell Deadlift,Strength,Barbell,Full Body,Compound,"Glutes, Hamstrings, Back, Core, Forearms","Stand with feet hip-width apart and the bar over the midfoot. Hinge at the hips, bend your knees, and grip the bar just outside your legs. Keep your back flat and chest up as you drive through the floor to stand tall. Lower the bar by pushing your hips back first, then bending your knees."
dumbbell-lunge-007,Dumbbell Reverse Lunge,Strength,Dumbbells,Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core","Hold a dumbbell in each hand at your sides. Step one foot back and lower your back knee toward the floor. Keep your front knee aligned over your ankle. Push through the front heel to return to standing, then repeat on the other side."
overhead-press-008,Barbell Overhead Press,Strength,Barbell,Shoulders,Compound,"Deltoids, Triceps, Upper Chest, Core",Stand with feet about shoulder-width apart and hold the bar at upper chest height. Tighten your core and glutes. Press the bar overhead in a straight path until your arms are fully extended. Lower it back to the starting position under control.
bent-over-row-009,Bent-Over Barbell Row,Strength,Barbell,Back,Compound,"Lats, Rhomboids, Rear Delts, Biceps","Hold a barbell with an overhand grip and hinge forward at the hips until your torso is near parallel to the floor. Keep a neutral spine and knees slightly bent. Pull the bar toward your lower ribs, squeezing your shoulder blades together. Lower the bar slowly without rounding your back."
goblet-squat-010,Goblet Squat,Strength,Dumbbell,Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core","Hold a dumbbell vertically against your chest with both hands. Stand with feet shoulder-width apart. Sit your hips down and back as you squat, keeping your chest tall. Drive through your heels to stand back up."
kettlebell-swing-011,Kettlebell Swing,Strength/Cardio,Kettlebell,Full Body,Compound,"Glutes, Hamstrings, Core, Shoulders","Stand with feet slightly wider than hip-width and the kettlebell a foot or so in front of you. Hinge at the hips to grab the kettlebell and hike it back between your legs. Explosively extend your hips to swing it to chest height. Let the bell return naturally and repeat using a hip hinge, not a squat."
walking-lunge-012,Walking Lunge,Strength,None (bodyweight),Legs,Compound,"Quadriceps, Glutes, Hamstrings, Calves, Core",Stand tall and take a controlled step forward into a lunge. Lower your back knee toward the floor while keeping your torso upright. Push through the front heel to bring the back leg forward into the next step. Continue alternating legs as you move forward.
glute-bridge-013,Glute Bridge,Strength,None (bodyweight),Glutes,Isolation,"Glutes, Hamstrings, Core","Lie on your back with knees bent and feet flat on the floor. Keep your arms at your sides. Brace your core and drive through your heels to lift your hips until your body forms a straight line from shoulders to knees. Squeeze your glutes at the top, then lower slowly."
romanian-deadlift-014,Romanian Deadlift,Strength,Dumbbells,Hamstrings,Compound,"Hamstrings, Glutes, Lower Back, Core",Stand with dumbbells in front of your thighs and knees slightly bent. Push your hips back while keeping the weights close to your legs and your back neutral. Lower until you feel a stretch in the hamstrings. Drive your hips forward to stand back up.
lat-pulldown-015,Lat Pulldown,Strength,Cable Machine,Back,Compound,"Lats, Biceps, Rear Delts, Upper Back",Sit at the lat pulldown machine and secure your thighs under the pads. Grip the bar wider than shoulder-width. Pull the bar down toward your upper chest while keeping your torso stable. Slowly return the bar overhead with control.
seated-row-016,Seated Cable Row,Strength,Cable Machine,Back,Compound,"Lats, Rhomboids, Traps, Biceps",Sit with your feet on the platform and grab the handle. Keep your chest up and spine neutral. Pull the handle toward your torso by driving your elbows back and squeezing your shoulder blades. Extend your arms slowly to return to the start.
leg-press-017,Leg Press,Strength,Machine,Legs,Compound,"Quadriceps, Glutes, Hamstrings",Sit in the leg press machine with your feet shoulder-width apart on the platform. Release the safety handles and lower the sled until your knees bend comfortably. Press through your heels to extend your legs without locking the knees. Keep your lower back against the seat.
chest-press-machine-018,Chest Press Machine,Strength,Machine,Chest,Compound,"Chest, Triceps, Shoulders",Adjust the seat so the handles align with mid-chest. Sit with your back against the pad and grip the handles. Press forward until your arms are nearly extended. Return the handles slowly until your elbows are bent and your chest is stretched.
shoulder-raise-019,Dumbbell Lateral Raise,Strength,Dumbbells,Shoulders,Isolation,"Side Delts, Upper Traps",Stand tall with a dumbbell in each hand at your sides. Keep a slight bend in the elbows and raise the weights out to the sides until they reach shoulder height. Lower them slowly with control. Avoid swinging or shrugging.
bicep-curl-020,Dumbbell Bicep Curl,Strength,Dumbbells,Arms,Isolation,"Biceps, Forearms",Stand upright with a dumbbell in each hand and palms facing forward. Keep your elbows close to your sides. Curl the weights toward your shoulders without moving your upper arms. Lower them slowly to full extension.
tricep-pushdown-021,Cable Triceps Pushdown,Strength,Cable Machine,Arms,Isolation,Triceps,Stand facing a high pulley with a rope or straight bar attachment. Keep your elbows tucked at your sides. Push the handle down until your arms are fully extended. Return slowly until your forearms are just above parallel to the floor.
